,name,year,month,day,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,days_completed
41,1_spa_2016 11 16_morning_new,2016,11,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21250322461128235,0.0,0.0,0.0,0.0,0.0,0.10498589277267456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040579263120889664,0.0,0.4922949075698853,0.0,0.0,0.0,0.021382858976721764,0.0,0.0,0.0,0.12058942019939425,0.0,0.0,0.0,2016 11 16
42,1_spa_2016 11 17_morning_new,2016,11,17,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424719780683517,0.0,0.0,0.0,0.0,0.0,0.09766335785388948,0.04205215722322464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09912772476673126,0.0,0.06574196368455887,0.0,0.0,0.0,0.04293109476566315,0.0,0.0,0.0,0.3940320611000061,0.0,0.0,0.0,2016 11 17
43,1_spa_2016 11 19_morning_new,2016,11,19,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457610964775085,0.0,0.0,0.0,0.0,0.0,0.07977697998285294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2960776686668396,0.09017541259527206,0.2862654030323029,0.0,0.0,0.0,0.04349397867918015,0.0,0.0,0.0,0.1198251098394394,0.0,0.0,0.0,2016 11 19
44,1_spa_2016 11 22_morning_new,2016,11,22,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20340146124362946,0.0,0.0,0.0,0.031580429524183266,0.0,0.09964947402477264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07264918833971024,0.0,0.2681679129600525,0.0,0.0,0.0,0.02423198148608208,0.0,0.0,0.0,0.2927045524120331,0.0,0.0,0.0,2016 11 22
45,1_spa_2016 11 23_morning_new,2016,11,23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11720015108585358,0.0,0.0,0.0,0.0,0.0,0.17315466701984406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10454230010509492,0.0,0.08002021163702011,0.024803364649415016,0.0,0.0,0.031291071325540536,0.0,0.0,0.1999107450246811,0.262278288602829,0.0,0.0,0.0,2016 11 23
46,1_spa_2016 11 24_morning_new,2016,11,24,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3713984787464142,0.0,0.0,0.0,0.01584942452609539,0.0,0.1377282589673996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14709052443504333,0.0,0.1507556289434433,0.0,0.0,0.0,0.03739170357584953,0.0,0.0,0.0,0.11752424389123915,0.0,0.0,0.0,2016 11 24
47,1_spa_2016 11 25_morning_new,2016,11,25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17261657118797302,0.0,0.0,0.0,0.03300078958272934,0.0,0.22516076266765594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11586543172597885,0.0,0.1941193789243698,0.0,0.0,0.0,0.021065553650259968,0.0,0.0,0.15280841290950775,0.07883858680725098,0.0,0.0,0.0,2016 11 25
48,1_spa_2016 11 26_morning_new,2016,11,26,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021636925637722012,0.0,0.0,0.0,0.0,0.0,0.1977055370807648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036100611090660095,0.0,0.467723160982132,0.0,0.06972242146730423,0.0,0.10196968168020247,0.0,0.0,0.03997136652469635,0.06074206158518791,0.0,0.0,0.0,2016 11 26
49,1_spa_2016 11 26_afternoon_new,2016,11,26,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24518932402133944,0.03305646777153015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043848734349012375,0.0,0.4074961841106415,0.0,0.07523145526647568,0.0,0.14261522889137268,0.0,0.0,0.022382019087672237,0.02018225379288197,0.0,0.0,0.0,2016 11 26
50,1_spa_2016 11 29_morning_new,2016,11,29,12.0,0.0,0.0,0.012079309672117232,0.0,0.0,0.0,0.0,0.14198727905750275,0.0,0.0,0.0,0.0,0.0,0.4567859470844269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08494311571121216,0.0,0.03997009247541428,0.0,0.0,0.0,0.0534094013273716,0.0,0.0,0.0,0.1958974003791809,0.0,0.0,0.0,2016 11 29
